Beat(position=131, label=<Label.unknown: 10>)
Beat(position=8003, label=<Label.sinus_rhythm: 0>)
Beat(position=8215, label=<Label.sinus_rhythm: 0>)
Beat(position=8427, label=<Label.sinus_rhythm: 0>)
Beat(position=8631, label=<Label.sinus_rhythm: 0>)
Beat(position=8841, label=<Label.sinus_rhythm: 0>)
Beat(position=9058, label=<Label.sinus_rhythm: 0>)
Beat(position=9270, label=<Label.sinus_rhythm: 0>)
Beat(position=9491, label=<Label.sinus_rhythm: 0>)
Beat(position=9713, label=<Label.sinus_rhythm: 0>)
Beat(position=9926, label=<Label.sinus_rhythm: 0>)
Beat(position=10147, label=<Label.sinus_rhythm: 0>)
Beat(position=10375, label=<Label.sinus_rhythm: 0>)
Beat(position=10602, label=<Label.sinus_rhythm: 0>)
Beat(position=10830, label=<Label.sinus_rhythm: 0>)
Beat(position=11064, label=<Label.sinus_rhythm: 0>)
Beat(position=11300, label=<Label.sinus_rhythm: 0>)
Beat(position=11533, label=<Label.sinus_rhythm: 0>)
Beat(position=11761, label=<Label.sinus_rhythm: 0>)
Beat(position=11997, label=<Label.sinus_rhythm: 0>)
Beat(position=12236, label=<Label.sinus_rhythm: 0>)
Beat(position=12459, label=<Label.sinus_rhythm: 0>)
Beat(position=12692, label=<Label.sinus_rhythm: 0>)
Beat(position=12927, label=<Label.sinus_rhythm: 0>)
Beat(position=13157, label=<Label.sinus_rhythm: 0>)
Beat(position=13400, label=<Label.sinus_rhythm: 0>)
Beat(position=13644, label=<Label.sinus_rhythm: 0>)
Beat(position=13877, label=<Label.sinus_rhythm: 0>)
Beat(position=14121, label=<Label.sinus_rhythm: 0>)
Beat(position=14366, label=<Label.atrial_premature_beat: 1>)
Beat(position=14597, label=<Label.sinus_rhythm: 0>)
Beat(position=14827, label=<Label.sinus_rhythm: 0>)
Beat(position=15051, label=<Label.sinus_rhythm: 0>)
Beat(position=15279, label=<Label.sinus_rhythm: 0>)
Beat(position=15511, label=<Label.sinus_rhythm: 0>)
Beat(position=15737, label=<Label.sinus_rhythm: 0>)
Beat(position=15946, label=<Label.sinus_rhythm: 0>)
Beat(position=16164, label=<Label.sinus_rhythm: 0>)
Beat(position=16381, label=<Label.sinus_rhythm: 0>)
Beat(position=16595, label=<Label.sinus_rhythm: 0>)
Beat(position=16818, label=<Label.sinus_rhythm: 0>)
Beat(position=17043, label=<Label.sinus_rhythm: 0>)
Beat(position=17260, label=<Label.sinus_rhythm: 0>)
Beat(position=17486, label=<Label.sinus_rhythm: 0>)
Beat(position=17702, label=<Label.sinus_rhythm: 0>)
Beat(position=17916, label=<Label.sinus_rhythm: 0>)
Beat(position=18117, label=<Label.sinus_rhythm: 0>)
Beat(position=18307, label=<Label.sinus_rhythm: 0>)
Beat(position=18501, label=<Label.sinus_rhythm: 0>)
Beat(position=18697, label=<Label.sinus_rhythm: 0>)
Beat(position=18903, label=<Label.sinus_rhythm: 0>)
Beat(position=19125, label=<Label.sinus_rhythm: 0>)
Beat(position=19333, label=<Label.sinus_rhythm: 0>)
Beat(position=19540, label=<Label.sinus_rhythm: 0>)
Beat(position=19750, label=<Label.sinus_rhythm: 0>)
Beat(position=19956, label=<Label.sinus_rhythm: 0>)
Beat(position=20163, label=<Label.sinus_rhythm: 0>)
Beat(position=20376, label=<Label.sinus_rhythm: 0>)
Beat(position=20589, label=<Label.sinus_rhythm: 0>)
Beat(position=20807, label=<Label.sinus_rhythm: 0>)
Beat(position=21030, label=<Label.sinus_rhythm: 0>)
Beat(position=21245, label=<Label.sinus_rhythm: 0>)
Beat(position=21460, label=<Label.sinus_rhythm: 0>)
Beat(position=21677, label=<Label.sinus_rhythm: 0>)
Beat(position=21886, label=<Label.sinus_rhythm: 0>)
Beat(position=22095, label=<Label.sinus_rhythm: 0>)
Beat(position=22309, label=<Label.sinus_rhythm: 0>)
Beat(position=22519, label=<Label.sinus_rhythm: 0>)
Beat(position=22733, label=<Label.sinus_rhythm: 0>)
Beat(position=22957, label=<Label.sinus_rhythm: 0>)
Beat(position=23172, label=<Label.sinus_rhythm: 0>)
Beat(position=23390, label=<Label.sinus_rhythm: 0>)
Beat(position=23611, label=<Label.sinus_rhythm: 0>)
Beat(position=23827, label=<Label.sinus_rhythm: 0>)
Beat(position=24040, label=<Label.sinus_rhythm: 0>)
Beat(position=24257, label=<Label.sinus_rhythm: 0>)
Beat(position=24472, label=<Label.sinus_rhythm: 0>)
Beat(position=24685, label=<Label.sinus_rhythm: 0>)
Beat(position=24907, label=<Label.sinus_rhythm: 0>)
Beat(position=25131, label=<Label.sinus_rhythm: 0>)
Beat(position=25347, label=<Label.sinus_rhythm: 0>)
Beat(position=25573, label=<Label.sinus_rhythm: 0>)
Beat(position=25797, label=<Label.sinus_rhythm: 0>)
Beat(position=26013, label=<Label.sinus_rhythm: 0>)
Beat(position=26233, label=<Label.sinus_rhythm: 0>)
Beat(position=26457, label=<Label.sinus_rhythm: 0>)
Beat(position=26671, label=<Label.sinus_rhythm: 0>)
Beat(position=26888, label=<Label.sinus_rhythm: 0>)
Beat(position=27105, label=<Label.sinus_rhythm: 0>)
Beat(position=27311, label=<Label.sinus_rhythm: 0>)
Beat(position=27506, label=<Label.sinus_rhythm: 0>)
Beat(position=27683, label=<Label.sinus_rhythm: 0>)
Beat(position=27874, label=<Label.atrial_premature_beat: 1>)
Beat(position=28102, label=<Label.sinus_rhythm: 0>)
Beat(position=28342, label=<Label.sinus_rhythm: 0>)
Beat(position=28573, label=<Label.sinus_rhythm: 0>)
Beat(position=28800, label=<Label.sinus_rhythm: 0>)
Beat(position=29033, label=<Label.sinus_rhythm: 0>)
Beat(position=29266, label=<Label.sinus_rhythm: 0>)
Beat(position=29494, label=<Label.sinus_rhythm: 0>)
Beat(position=29721, label=<Label.sinus_rhythm: 0>)
Beat(position=29941, label=<Label.sinus_rhythm: 0>)
Beat(position=30161, label=<Label.sinus_rhythm: 0>)
Beat(position=30377, label=<Label.sinus_rhythm: 0>)
Beat(position=30584, label=<Label.sinus_rhythm: 0>)
Beat(position=30787, label=<Label.sinus_rhythm: 0>)
Beat(position=30993, label=<Label.sinus_rhythm: 0>)
Beat(position=31191, label=<Label.sinus_rhythm: 0>)
Beat(position=31398, label=<Label.sinus_rhythm: 0>)
Beat(position=31613, label=<Label.sinus_rhythm: 0>)
Beat(position=31822, label=<Label.sinus_rhythm: 0>)
Beat(position=32044, label=<Label.sinus_rhythm: 0>)
Beat(position=32269, label=<Label.sinus_rhythm: 0>)
Beat(position=32484, label=<Label.atrial_premature_beat: 1>)
Beat(position=32708, label=<Label.sinus_rhythm: 0>)
Beat(position=32932, label=<Label.sinus_rhythm: 0>)
Beat(position=33148, label=<Label.atrial_premature_beat: 1>)
Beat(position=33371, label=<Label.sinus_rhythm: 0>)
Beat(position=33589, label=<Label.sinus_rhythm: 0>)
Beat(position=33805, label=<Label.sinus_rhythm: 0>)
Beat(position=34029, label=<Label.sinus_rhythm: 0>)
Beat(position=34252, label=<Label.sinus_rhythm: 0>)
Beat(position=34468, label=<Label.atrial_premature_beat: 1>)
Beat(position=34692, label=<Label.sinus_rhythm: 0>)
Beat(position=34919, label=<Label.sinus_rhythm: 0>)
Beat(position=35135, label=<Label.sinus_rhythm: 0>)
Beat(position=35357, label=<Label.sinus_rhythm: 0>)
Beat(position=35577, label=<Label.sinus_rhythm: 0>)
Beat(position=35780, label=<Label.atrial_premature_beat: 1>)
Beat(position=36003, label=<Label.sinus_rhythm: 0>)
Beat(position=36222, label=<Label.sinus_rhythm: 0>)
Beat(position=36429, label=<Label.sinus_rhythm: 0>)
Beat(position=36641, label=<Label.sinus_rhythm: 0>)
Beat(position=36850, label=<Label.sinus_rhythm: 0>)
Beat(position=37048, label=<Label.sinus_rhythm: 0>)
Beat(position=37253, label=<Label.sinus_rhythm: 0>)
Beat(position=37462, label=<Label.sinus_rhythm: 0>)
Beat(position=37668, label=<Label.sinus_rhythm: 0>)
Beat(position=37888, label=<Label.sinus_rhythm: 0>)
Beat(position=38113, label=<Label.sinus_rhythm: 0>)
Beat(position=38328, label=<Label.sinus_rhythm: 0>)
Beat(position=38549, label=<Label.sinus_rhythm: 0>)
Beat(position=38769, label=<Label.sinus_rhythm: 0>)
Beat(position=38977, label=<Label.sinus_rhythm: 0>)
Beat(position=39191, label=<Label.sinus_rhythm: 0>)
Beat(position=39401, label=<Label.sinus_rhythm: 0>)
Beat(position=39601, label=<Label.sinus_rhythm: 0>)
Beat(position=39801, label=<Label.sinus_rhythm: 0>)
Beat(position=40005, label=<Label.sinus_rhythm: 0>)
Beat(position=40205, label=<Label.sinus_rhythm: 0>)
Beat(position=40412, label=<Label.sinus_rhythm: 0>)
Beat(position=40625, label=<Label.sinus_rhythm: 0>)
Beat(position=40835, label=<Label.sinus_rhythm: 0>)
Beat(position=41044, label=<Label.sinus_rhythm: 0>)
Beat(position=41253, label=<Label.sinus_rhythm: 0>)
Beat(position=41456, label=<Label.sinus_rhythm: 0>)
Beat(position=41660, label=<Label.sinus_rhythm: 0>)
Beat(position=41867, label=<Label.sinus_rhythm: 0>)
Beat(position=42075, label=<Label.sinus_rhythm: 0>)
Beat(position=42285, label=<Label.sinus_rhythm: 0>)
Beat(position=42502, label=<Label.sinus_rhythm: 0>)
Beat(position=42716, label=<Label.sinus_rhythm: 0>)
Beat(position=42929, label=<Label.sinus_rhythm: 0>)
Beat(position=43143, label=<Label.sinus_rhythm: 0>)
Beat(position=43354, label=<Label.sinus_rhythm: 0>)
Beat(position=43566, label=<Label.sinus_rhythm: 0>)
Beat(position=43784, label=<Label.sinus_rhythm: 0>)
Beat(position=43998, label=<Label.sinus_rhythm: 0>)
Beat(position=44217, label=<Label.sinus_rhythm: 0>)
Beat(position=44441, label=<Label.sinus_rhythm: 0>)
Beat(position=44645, label=<Label.atrial_premature_beat: 1>)
Beat(position=44877, label=<Label.sinus_rhythm: 0>)
Beat(position=45101, label=<Label.sinus_rhythm: 0>)
Beat(position=45305, label=<Label.sinus_rhythm: 0>)
Beat(position=45523, label=<Label.sinus_rhythm: 0>)
Beat(position=45745, label=<Label.sinus_rhythm: 0>)
Beat(position=45980, label=<Label.sinus_rhythm: 0>)
Beat(position=46208, label=<Label.sinus_rhythm: 0>)
Beat(position=46431, label=<Label.sinus_rhythm: 0>)
Beat(position=46656, label=<Label.sinus_rhythm: 0>)
Beat(position=46890, label=<Label.sinus_rhythm: 0>)
Beat(position=47125, label=<Label.sinus_rhythm: 0>)
Beat(position=47357, label=<Label.sinus_rhythm: 0>)
Beat(position=47567, label=<Label.atrial_premature_beat: 1>)
Beat(position=47790, label=<Label.sinus_rhythm: 0>)
Beat(position=48004, label=<Label.sinus_rhythm: 0>)
Beat(position=48225, label=<Label.sinus_rhythm: 0>)
Beat(position=48451, label=<Label.sinus_rhythm: 0>)
Beat(position=48667, label=<Label.sinus_rhythm: 0>)
Beat(position=48873, label=<Label.sinus_rhythm: 0>)
Beat(position=49079, label=<Label.sinus_rhythm: 0>)
Beat(position=49289, label=<Label.sinus_rhythm: 0>)
Beat(position=49501, label=<Label.sinus_rhythm: 0>)
Beat(position=49708, label=<Label.sinus_rhythm: 0>)
Beat(position=49905, label=<Label.sinus_rhythm: 0>)
Beat(position=50098, label=<Label.sinus_rhythm: 0>)
Beat(position=50295, label=<Label.sinus_rhythm: 0>)
Beat(position=50503, label=<Label.sinus_rhythm: 0>)
Beat(position=50718, label=<Label.sinus_rhythm: 0>)
Beat(position=50929, label=<Label.sinus_rhythm: 0>)
Beat(position=51133, label=<Label.sinus_rhythm: 0>)
Beat(position=51339, label=<Label.sinus_rhythm: 0>)
Beat(position=51553, label=<Label.sinus_rhythm: 0>)
Beat(position=51769, label=<Label.sinus_rhythm: 0>)
Beat(position=51980, label=<Label.sinus_rhythm: 0>)
Beat(position=52185, label=<Label.sinus_rhythm: 0>)
Beat(position=52383, label=<Label.sinus_rhythm: 0>)
Beat(position=52584, label=<Label.sinus_rhythm: 0>)
Beat(position=52787, label=<Label.sinus_rhythm: 0>)
Beat(position=52992, label=<Label.sinus_rhythm: 0>)
Beat(position=53190, label=<Label.sinus_rhythm: 0>)
Beat(position=53385, label=<Label.sinus_rhythm: 0>)
Beat(position=53585, label=<Label.sinus_rhythm: 0>)
Beat(position=53789, label=<Label.sinus_rhythm: 0>)
Beat(position=53996, label=<Label.sinus_rhythm: 0>)
Beat(position=54197, label=<Label.sinus_rhythm: 0>)
Beat(position=54394, label=<Label.sinus_rhythm: 0>)
Beat(position=54601, label=<Label.sinus_rhythm: 0>)
Beat(position=54821, label=<Label.sinus_rhythm: 0>)
Beat(position=55043, label=<Label.sinus_rhythm: 0>)
Beat(position=55255, label=<Label.sinus_rhythm: 0>)
Beat(position=55468, label=<Label.sinus_rhythm: 0>)
Beat(position=55689, label=<Label.sinus_rhythm: 0>)
Beat(position=55913, label=<Label.sinus_rhythm: 0>)
Beat(position=56133, label=<Label.sinus_rhythm: 0>)
Beat(position=56342, label=<Label.atrial_premature_beat: 1>)
Beat(position=56564, label=<Label.sinus_rhythm: 0>)
Beat(position=56785, label=<Label.sinus_rhythm: 0>)
Beat(position=57004, label=<Label.sinus_rhythm: 0>)
Beat(position=57203, label=<Label.ventricular_pre_excitation: 6>)
Beat(position=57441, label=<Label.sinus_rhythm: 0>)
Beat(position=57661, label=<Label.sinus_rhythm: 0>)
Beat(position=57880, label=<Label.sinus_rhythm: 0>)
Beat(position=58086, label=<Label.sinus_rhythm: 0>)
Beat(position=58298, label=<Label.sinus_rhythm: 0>)
Beat(position=58511, label=<Label.sinus_rhythm: 0>)
Beat(position=58721, label=<Label.sinus_rhythm: 0>)
Beat(position=58924, label=<Label.sinus_rhythm: 0>)
Beat(position=59135, label=<Label.sinus_rhythm: 0>)
Beat(position=59356, label=<Label.sinus_rhythm: 0>)
Beat(position=59577, label=<Label.sinus_rhythm: 0>)
Beat(position=59793, label=<Label.sinus_rhythm: 0>)
Beat(position=60019, label=<Label.sinus_rhythm: 0>)
Beat(position=60245, label=<Label.sinus_rhythm: 0>)
Beat(position=60469, label=<Label.sinus_rhythm: 0>)
Beat(position=60684, label=<Label.sinus_rhythm: 0>)
Beat(position=60900, label=<Label.sinus_rhythm: 0>)
Beat(position=61113, label=<Label.sinus_rhythm: 0>)
Beat(position=61325, label=<Label.sinus_rhythm: 0>)
Beat(position=61529, label=<Label.sinus_rhythm: 0>)
Beat(position=61739, label=<Label.sinus_rhythm: 0>)
Beat(position=61949, label=<Label.sinus_rhythm: 0>)
Beat(position=62151, label=<Label.sinus_rhythm: 0>)
Beat(position=62335, label=<Label.sinus_rhythm: 0>)
Beat(position=62519, label=<Label.sinus_rhythm: 0>)
Beat(position=62714, label=<Label.sinus_rhythm: 0>)
Beat(position=62923, label=<Label.sinus_rhythm: 0>)
Beat(position=63140, label=<Label.sinus_rhythm: 0>)
Beat(position=63350, label=<Label.sinus_rhythm: 0>)
Beat(position=63565, label=<Label.sinus_rhythm: 0>)
Beat(position=63785, label=<Label.sinus_rhythm: 0>)
Beat(position=63993, label=<Label.sinus_rhythm: 0>)
Beat(position=64205, label=<Label.sinus_rhythm: 0>)
Beat(position=64417, label=<Label.sinus_rhythm: 0>)
Beat(position=64618, label=<Label.sinus_rhythm: 0>)
Beat(position=64828, label=<Label.sinus_rhythm: 0>)
Beat(position=65041, label=<Label.sinus_rhythm: 0>)
Beat(position=65252, label=<Label.sinus_rhythm: 0>)
Beat(position=65470, label=<Label.sinus_rhythm: 0>)
Beat(position=65692, label=<Label.sinus_rhythm: 0>)
Beat(position=65901, label=<Label.sinus_rhythm: 0>)
Beat(position=66108, label=<Label.sinus_rhythm: 0>)
Beat(position=66317, label=<Label.sinus_rhythm: 0>)
Beat(position=66544, label=<Label.sinus_rhythm: 0>)
Beat(position=66773, label=<Label.sinus_rhythm: 0>)
Beat(position=66989, label=<Label.sinus_rhythm: 0>)
Beat(position=67210, label=<Label.sinus_rhythm: 0>)
Beat(position=67430, label=<Label.sinus_rhythm: 0>)
Beat(position=67643, label=<Label.sinus_rhythm: 0>)
Beat(position=67862, label=<Label.sinus_rhythm: 0>)
Beat(position=68086, label=<Label.sinus_rhythm: 0>)
Beat(position=68297, label=<Label.sinus_rhythm: 0>)
Beat(position=68514, label=<Label.sinus_rhythm: 0>)
Beat(position=68732, label=<Label.sinus_rhythm: 0>)
Beat(position=68943, label=<Label.sinus_rhythm: 0>)
Beat(position=69160, label=<Label.sinus_rhythm: 0>)
Beat(position=69377, label=<Label.sinus_rhythm: 0>)
Beat(position=69585, label=<Label.sinus_rhythm: 0>)
Beat(position=69801, label=<Label.sinus_rhythm: 0>)
Beat(position=70018, label=<Label.sinus_rhythm: 0>)
Beat(position=70232, label=<Label.sinus_rhythm: 0>)
Beat(position=70455, label=<Label.sinus_rhythm: 0>)
Beat(position=70677, label=<Label.sinus_rhythm: 0>)
Beat(position=70889, label=<Label.sinus_rhythm: 0>)
Beat(position=71109, label=<Label.sinus_rhythm: 0>)
Beat(position=71337, label=<Label.sinus_rhythm: 0>)
Beat(position=71557, label=<Label.sinus_rhythm: 0>)
Beat(position=71780, label=<Label.sinus_rhythm: 0>)
Beat(position=72005, label=<Label.sinus_rhythm: 0>)
Beat(position=72214, label=<Label.sinus_rhythm: 0>)
Beat(position=72440, label=<Label.sinus_rhythm: 0>)
Beat(position=72664, label=<Label.sinus_rhythm: 0>)
Beat(position=72872, label=<Label.sinus_rhythm: 0>)
Beat(position=73096, label=<Label.sinus_rhythm: 0>)
Beat(position=73309, label=<Label.sinus_rhythm: 0>)
Beat(position=73514, label=<Label.sinus_rhythm: 0>)
Beat(position=73724, label=<Label.sinus_rhythm: 0>)
Beat(position=73942, label=<Label.sinus_rhythm: 0>)
Beat(position=74154, label=<Label.sinus_rhythm: 0>)
Beat(position=74349, label=<Label.sinus_rhythm: 0>)
Beat(position=74536, label=<Label.sinus_rhythm: 0>)
Beat(position=74724, label=<Label.sinus_rhythm: 0>)
Beat(position=74919, label=<Label.sinus_rhythm: 0>)
Beat(position=75123, label=<Label.sinus_rhythm: 0>)
Beat(position=75339, label=<Label.sinus_rhythm: 0>)
Beat(position=75561, label=<Label.sinus_rhythm: 0>)
Beat(position=75782, label=<Label.sinus_rhythm: 0>)
Beat(position=75991, label=<Label.sinus_rhythm: 0>)
Beat(position=76205, label=<Label.sinus_rhythm: 0>)
Beat(position=76421, label=<Label.sinus_rhythm: 0>)
Beat(position=76629, label=<Label.sinus_rhythm: 0>)
Beat(position=76837, label=<Label.sinus_rhythm: 0>)
Beat(position=77045, label=<Label.sinus_rhythm: 0>)
Beat(position=77248, label=<Label.sinus_rhythm: 0>)
Beat(position=77447, label=<Label.sinus_rhythm: 0>)
Beat(position=77649, label=<Label.sinus_rhythm: 0>)
Beat(position=77852, label=<Label.sinus_rhythm: 0>)
Beat(position=78049, label=<Label.sinus_rhythm: 0>)
Beat(position=78258, label=<Label.sinus_rhythm: 0>)
Beat(position=78471, label=<Label.sinus_rhythm: 0>)
Beat(position=78681, label=<Label.sinus_rhythm: 0>)
Beat(position=78898, label=<Label.sinus_rhythm: 0>)
Beat(position=79119, label=<Label.sinus_rhythm: 0>)
Beat(position=79323, label=<Label.sinus_rhythm: 0>)
Beat(position=79543, label=<Label.sinus_rhythm: 0>)
Beat(position=79760, label=<Label.sinus_rhythm: 0>)
Beat(position=79964, label=<Label.sinus_rhythm: 0>)
Beat(position=80185, label=<Label.sinus_rhythm: 0>)
Beat(position=80390, label=<Label.sinus_rhythm: 0>)
Beat(position=80604, label=<Label.sinus_rhythm: 0>)
Beat(position=80815, label=<Label.sinus_rhythm: 0>)
Beat(position=81037, label=<Label.sinus_rhythm: 0>)
Beat(position=81253, label=<Label.atrial_premature_beat: 1>)
Beat(position=81478, label=<Label.sinus_rhythm: 0>)
Beat(position=81707, label=<Label.sinus_rhythm: 0>)
Beat(position=81909, label=<Label.sinus_rhythm: 0>)
Beat(position=82131, label=<Label.sinus_rhythm: 0>)
Beat(position=82341, label=<Label.sinus_rhythm: 0>)
Beat(position=82545, label=<Label.sinus_rhythm: 0>)
Beat(position=82754, label=<Label.sinus_rhythm: 0>)
Beat(position=82965, label=<Label.sinus_rhythm: 0>)
Beat(position=83168, label=<Label.sinus_rhythm: 0>)
Beat(position=83377, label=<Label.sinus_rhythm: 0>)
Beat(position=83592, label=<Label.sinus_rhythm: 0>)
Beat(position=83800, label=<Label.sinus_rhythm: 0>)
Beat(position=84017, label=<Label.sinus_rhythm: 0>)
Beat(position=84237, label=<Label.sinus_rhythm: 0>)
Beat(position=84441, label=<Label.sinus_rhythm: 0>)
Beat(position=84657, label=<Label.sinus_rhythm: 0>)
Beat(position=84867, label=<Label.sinus_rhythm: 0>)
Beat(position=85077, label=<Label.sinus_rhythm: 0>)
Beat(position=85289, label=<Label.sinus_rhythm: 0>)
Beat(position=85508, label=<Label.sinus_rhythm: 0>)
Beat(position=85715, label=<Label.sinus_rhythm: 0>)
Beat(position=85919, label=<Label.sinus_rhythm: 0>)
Beat(position=86118, label=<Label.sinus_rhythm: 0>)
Beat(position=86327, label=<Label.sinus_rhythm: 0>)
Beat(position=86546, label=<Label.sinus_rhythm: 0>)
Beat(position=86769, label=<Label.sinus_rhythm: 0>)
Beat(position=86981, label=<Label.sinus_rhythm: 0>)
Beat(position=87205, label=<Label.sinus_rhythm: 0>)
Beat(position=87428, label=<Label.sinus_rhythm: 0>)
Beat(position=87645, label=<Label.sinus_rhythm: 0>)
Beat(position=87856, label=<Label.sinus_rhythm: 0>)
Beat(position=88072, label=<Label.sinus_rhythm: 0>)
Beat(position=88285, label=<Label.sinus_rhythm: 0>)
Beat(position=88498, label=<Label.sinus_rhythm: 0>)
Beat(position=88701, label=<Label.sinus_rhythm: 0>)
Beat(position=88911, label=<Label.sinus_rhythm: 0>)
Beat(position=89124, label=<Label.sinus_rhythm: 0>)
Beat(position=89336, label=<Label.sinus_rhythm: 0>)
Beat(position=89549, label=<Label.sinus_rhythm: 0>)
Beat(position=89765, label=<Label.sinus_rhythm: 0>)
Beat(position=89978, label=<Label.sinus_rhythm: 0>)
Beat(position=90181, label=<Label.sinus_rhythm: 0>)
Beat(position=90391, label=<Label.sinus_rhythm: 0>)
Beat(position=90612, label=<Label.sinus_rhythm: 0>)
Beat(position=90829, label=<Label.sinus_rhythm: 0>)
Beat(position=91050, label=<Label.sinus_rhythm: 0>)
Beat(position=91261, label=<Label.sinus_rhythm: 0>)
Beat(position=91466, label=<Label.sinus_rhythm: 0>)
Beat(position=91667, label=<Label.sinus_rhythm: 0>)
Beat(position=91875, label=<Label.sinus_rhythm: 0>)
Beat(position=92097, label=<Label.sinus_rhythm: 0>)
Beat(position=92325, label=<Label.sinus_rhythm: 0>)
Beat(position=92543, label=<Label.sinus_rhythm: 0>)
Beat(position=92757, label=<Label.sinus_rhythm: 0>)
Beat(position=92989, label=<Label.sinus_rhythm: 0>)
Beat(position=93224, label=<Label.sinus_rhythm: 0>)
Beat(position=93445, label=<Label.sinus_rhythm: 0>)
Beat(position=93663, label=<Label.sinus_rhythm: 0>)
Beat(position=93881, label=<Label.sinus_rhythm: 0>)
Beat(position=94102, label=<Label.sinus_rhythm: 0>)
Beat(position=94326, label=<Label.sinus_rhythm: 0>)
Beat(position=94544, label=<Label.sinus_rhythm: 0>)
Beat(position=94749, label=<Label.sinus_rhythm: 0>)
Beat(position=94951, label=<Label.sinus_rhythm: 0>)
Beat(position=95165, label=<Label.sinus_rhythm: 0>)
Beat(position=95388, label=<Label.sinus_rhythm: 0>)
Beat(position=95604, label=<Label.sinus_rhythm: 0>)
Beat(position=95805, label=<Label.sinus_rhythm: 0>)
Beat(position=96002, label=<Label.sinus_rhythm: 0>)
Beat(position=96209, label=<Label.sinus_rhythm: 0>)
Beat(position=96436, label=<Label.sinus_rhythm: 0>)
Beat(position=96669, label=<Label.sinus_rhythm: 0>)
Beat(position=96892, label=<Label.sinus_rhythm: 0>)
Beat(position=97103, label=<Label.sinus_rhythm: 0>)
Beat(position=97320, label=<Label.sinus_rhythm: 0>)
Beat(position=97542, label=<Label.sinus_rhythm: 0>)
Beat(position=97766, label=<Label.sinus_rhythm: 0>)
Beat(position=97986, label=<Label.sinus_rhythm: 0>)
Beat(position=98205, label=<Label.sinus_rhythm: 0>)
Beat(position=98431, label=<Label.sinus_rhythm: 0>)
Beat(position=98656, label=<Label.sinus_rhythm: 0>)
Beat(position=98877, label=<Label.sinus_rhythm: 0>)
Beat(position=99094, label=<Label.atrial_premature_beat: 1>)
Beat(position=99321, label=<Label.sinus_rhythm: 0>)
Beat(position=99551, label=<Label.sinus_rhythm: 0>)
Beat(position=99775, label=<Label.sinus_rhythm: 0>)
Beat(position=99983, label=<Label.atrial_premature_beat: 1>)
Beat(position=100222, label=<Label.sinus_rhythm: 0>)
Beat(position=100450, label=<Label.sinus_rhythm: 0>)
Beat(position=100671, label=<Label.sinus_rhythm: 0>)
Beat(position=100883, label=<Label.sinus_rhythm: 0>)
Beat(position=101101, label=<Label.sinus_rhythm: 0>)
Beat(position=101321, label=<Label.sinus_rhythm: 0>)
Beat(position=101539, label=<Label.sinus_rhythm: 0>)
Beat(position=101756, label=<Label.sinus_rhythm: 0>)
Beat(position=101980, label=<Label.sinus_rhythm: 0>)
Beat(position=102205, label=<Label.sinus_rhythm: 0>)
Beat(position=102429, label=<Label.sinus_rhythm: 0>)
Beat(position=102653, label=<Label.sinus_rhythm: 0>)
Beat(position=102877, label=<Label.sinus_rhythm: 0>)
Beat(position=103097, label=<Label.sinus_rhythm: 0>)
Beat(position=103312, label=<Label.sinus_rhythm: 0>)
Beat(position=103531, label=<Label.sinus_rhythm: 0>)
