Beat(position=131, r_peak=128, label=<Label.未知: -1>)
Beat(position=9713, r_peak=9710, label=<Label.窦性心律: 0>)
Beat(position=9926, r_peak=9923, label=<Label.窦性心律: 0>)
Beat(position=10147, r_peak=10144, label=<Label.窦性心律: 0>)
Beat(position=10375, r_peak=10372, label=<Label.窦性心律: 0>)
Beat(position=10602, r_peak=10599, label=<Label.窦性心律: 0>)
Beat(position=10830, r_peak=10828, label=<Label.窦性心律: 0>)
Beat(position=11064, r_peak=11061, label=<Label.窦性心律: 0>)
Beat(position=11300, r_peak=11297, label=<Label.窦性心律: 0>)
Beat(position=11533, r_peak=11529, label=<Label.窦性心律: 0>)
Beat(position=11761, r_peak=11758, label=<Label.窦性心律: 0>)
Beat(position=11997, r_peak=11994, label=<Label.窦性心律: 0>)
Beat(position=12236, r_peak=12232, label=<Label.窦性心律: 0>)
Beat(position=12459, r_peak=12456, label=<Label.窦性心律: 0>)
Beat(position=12692, r_peak=12689, label=<Label.窦性心律: 0>)
Beat(position=12927, r_peak=12924, label=<Label.窦性心律: 0>)
Beat(position=13157, r_peak=13155, label=<Label.窦性心律: 0>)
Beat(position=13400, r_peak=13397, label=<Label.窦性心律: 0>)
Beat(position=13644, r_peak=13640, label=<Label.窦性心律: 0>)
Beat(position=13877, r_peak=13875, label=<Label.窦性心律: 0>)
Beat(position=14121, r_peak=14118, label=<Label.窦性心律: 0>)
Beat(position=14366, r_peak=14364, label=<Label.房性早搏: 1>)
Beat(position=14597, r_peak=14594, label=<Label.窦性心律: 0>)
Beat(position=14827, r_peak=14824, label=<Label.窦性心律: 0>)
Beat(position=15051, r_peak=15048, label=<Label.窦性心律: 0>)
Beat(position=15279, r_peak=15276, label=<Label.窦性心律: 0>)
Beat(position=15511, r_peak=15509, label=<Label.窦性心律: 0>)
Beat(position=15737, r_peak=15734, label=<Label.窦性心律: 0>)
Beat(position=15946, r_peak=15943, label=<Label.窦性心律: 0>)
Beat(position=16164, r_peak=16160, label=<Label.窦性心律: 0>)
Beat(position=16381, r_peak=16379, label=<Label.窦性心律: 0>)
Beat(position=16595, r_peak=16592, label=<Label.窦性心律: 0>)
Beat(position=16818, r_peak=16814, label=<Label.窦性心律: 0>)
Beat(position=17043, r_peak=17040, label=<Label.窦性心律: 0>)
Beat(position=17260, r_peak=17257, label=<Label.窦性心律: 0>)
Beat(position=17486, r_peak=17483, label=<Label.窦性心律: 0>)
Beat(position=17702, r_peak=17700, label=<Label.窦性心律: 0>)
Beat(position=17916, r_peak=17912, label=<Label.窦性心律: 0>)
Beat(position=18117, r_peak=18113, label=<Label.窦性心律: 0>)
Beat(position=18307, r_peak=18303, label=<Label.窦性心律: 0>)
Beat(position=18501, r_peak=18497, label=<Label.窦性心律: 0>)
Beat(position=18697, r_peak=18693, label=<Label.窦性心律: 0>)
Beat(position=18903, r_peak=18900, label=<Label.窦性心律: 0>)
Beat(position=19125, r_peak=19122, label=<Label.窦性心律: 0>)
Beat(position=19333, r_peak=19329, label=<Label.窦性心律: 0>)
Beat(position=19540, r_peak=19537, label=<Label.窦性心律: 0>)
Beat(position=19750, r_peak=19747, label=<Label.窦性心律: 0>)
Beat(position=19956, r_peak=19952, label=<Label.窦性心律: 0>)
Beat(position=20163, r_peak=20159, label=<Label.窦性心律: 0>)
Beat(position=20376, r_peak=20373, label=<Label.窦性心律: 0>)
Beat(position=20589, r_peak=20586, label=<Label.窦性心律: 0>)
Beat(position=20807, r_peak=20804, label=<Label.窦性心律: 0>)
Beat(position=21030, r_peak=21027, label=<Label.窦性心律: 0>)
Beat(position=21245, r_peak=21241, label=<Label.窦性心律: 0>)
Beat(position=21460, r_peak=21456, label=<Label.窦性心律: 0>)
Beat(position=21677, r_peak=21675, label=<Label.窦性心律: 0>)
Beat(position=21886, r_peak=21883, label=<Label.窦性心律: 0>)
Beat(position=22095, r_peak=22092, label=<Label.窦性心律: 0>)
Beat(position=22309, r_peak=22306, label=<Label.窦性心律: 0>)
Beat(position=22519, r_peak=22515, label=<Label.窦性心律: 0>)
Beat(position=22733, r_peak=22731, label=<Label.窦性心律: 0>)
Beat(position=22957, r_peak=22955, label=<Label.窦性心律: 0>)
Beat(position=23172, r_peak=23169, label=<Label.窦性心律: 0>)
Beat(position=23390, r_peak=23387, label=<Label.窦性心律: 0>)
Beat(position=23611, r_peak=23608, label=<Label.窦性心律: 0>)
Beat(position=23827, r_peak=23823, label=<Label.窦性心律: 0>)
Beat(position=24040, r_peak=24038, label=<Label.窦性心律: 0>)
Beat(position=24257, r_peak=24253, label=<Label.窦性心律: 0>)
Beat(position=24472, r_peak=24469, label=<Label.窦性心律: 0>)
Beat(position=24685, r_peak=24683, label=<Label.窦性心律: 0>)
Beat(position=24907, r_peak=24904, label=<Label.窦性心律: 0>)
Beat(position=25131, r_peak=25127, label=<Label.窦性心律: 0>)
Beat(position=25347, r_peak=25344, label=<Label.窦性心律: 0>)
Beat(position=25573, r_peak=25569, label=<Label.窦性心律: 0>)
Beat(position=25797, r_peak=25794, label=<Label.窦性心律: 0>)
Beat(position=26013, r_peak=26010, label=<Label.窦性心律: 0>)
Beat(position=26233, r_peak=26230, label=<Label.窦性心律: 0>)
Beat(position=26457, r_peak=26454, label=<Label.窦性心律: 0>)
Beat(position=26671, r_peak=26668, label=<Label.窦性心律: 0>)
Beat(position=26888, r_peak=26885, label=<Label.窦性心律: 0>)
Beat(position=27105, r_peak=27101, label=<Label.窦性心律: 0>)
Beat(position=27311, r_peak=27308, label=<Label.窦性心律: 0>)
Beat(position=27506, r_peak=27501, label=<Label.窦性心律: 0>)
Beat(position=27683, r_peak=27679, label=<Label.窦性心律: 0>)
Beat(position=27874, r_peak=27871, label=<Label.房性早搏: 1>)
Beat(position=28102, r_peak=28100, label=<Label.窦性心律: 0>)
Beat(position=28342, r_peak=28340, label=<Label.窦性心律: 0>)
Beat(position=28573, r_peak=28570, label=<Label.窦性心律: 0>)
Beat(position=28800, r_peak=28798, label=<Label.窦性心律: 0>)
Beat(position=29033, r_peak=29030, label=<Label.窦性心律: 0>)
Beat(position=29266, r_peak=29263, label=<Label.窦性心律: 0>)
Beat(position=29494, r_peak=29491, label=<Label.窦性心律: 0>)
Beat(position=29721, r_peak=29718, label=<Label.窦性心律: 0>)
Beat(position=29941, r_peak=29938, label=<Label.窦性心律: 0>)
Beat(position=30161, r_peak=30157, label=<Label.窦性心律: 0>)
Beat(position=30377, r_peak=30375, label=<Label.窦性心律: 0>)
Beat(position=30584, r_peak=30581, label=<Label.窦性心律: 0>)
Beat(position=30787, r_peak=30784, label=<Label.窦性心律: 0>)
Beat(position=30993, r_peak=30989, label=<Label.窦性心律: 0>)
Beat(position=31191, r_peak=31188, label=<Label.窦性心律: 0>)
Beat(position=31398, r_peak=31395, label=<Label.窦性心律: 0>)
Beat(position=31613, r_peak=31610, label=<Label.窦性心律: 0>)
Beat(position=31822, r_peak=31819, label=<Label.窦性心律: 0>)
Beat(position=32044, r_peak=32040, label=<Label.窦性心律: 0>)
Beat(position=32269, r_peak=32266, label=<Label.窦性心律: 0>)
Beat(position=32484, r_peak=32481, label=<Label.房性早搏: 1>)
Beat(position=32708, r_peak=32705, label=<Label.窦性心律: 0>)
Beat(position=32932, r_peak=32928, label=<Label.窦性心律: 0>)
Beat(position=33148, r_peak=33146, label=<Label.房性早搏: 1>)
Beat(position=33371, r_peak=33368, label=<Label.窦性心律: 0>)
Beat(position=33589, r_peak=33586, label=<Label.窦性心律: 0>)
Beat(position=33805, r_peak=33801, label=<Label.窦性心律: 0>)
Beat(position=34029, r_peak=34025, label=<Label.窦性心律: 0>)
Beat(position=34252, r_peak=34247, label=<Label.窦性心律: 0>)
Beat(position=34468, r_peak=34465, label=<Label.房性早搏: 1>)
Beat(position=34692, r_peak=34690, label=<Label.窦性心律: 0>)
Beat(position=34919, r_peak=34916, label=<Label.窦性心律: 0>)
Beat(position=35135, r_peak=35132, label=<Label.窦性心律: 0>)
Beat(position=35357, r_peak=35354, label=<Label.窦性心律: 0>)
Beat(position=35577, r_peak=35574, label=<Label.窦性心律: 0>)
Beat(position=35780, r_peak=35776, label=<Label.房性早搏: 1>)
Beat(position=36003, r_peak=36000, label=<Label.窦性心律: 0>)
Beat(position=36222, r_peak=36216, label=<Label.窦性心律: 0>)
Beat(position=36429, r_peak=36426, label=<Label.窦性心律: 0>)
Beat(position=36641, r_peak=36638, label=<Label.窦性心律: 0>)
Beat(position=36850, r_peak=36846, label=<Label.窦性心律: 0>)
Beat(position=37048, r_peak=37045, label=<Label.窦性心律: 0>)
Beat(position=37253, r_peak=37250, label=<Label.窦性心律: 0>)
Beat(position=37462, r_peak=37459, label=<Label.窦性心律: 0>)
Beat(position=37668, r_peak=37665, label=<Label.窦性心律: 0>)
Beat(position=37888, r_peak=37885, label=<Label.窦性心律: 0>)
Beat(position=38113, r_peak=38110, label=<Label.窦性心律: 0>)
Beat(position=38328, r_peak=38325, label=<Label.窦性心律: 0>)
Beat(position=38549, r_peak=38546, label=<Label.窦性心律: 0>)
Beat(position=38769, r_peak=38765, label=<Label.窦性心律: 0>)
Beat(position=38977, r_peak=38974, label=<Label.窦性心律: 0>)
Beat(position=39191, r_peak=39188, label=<Label.窦性心律: 0>)
Beat(position=39401, r_peak=39398, label=<Label.窦性心律: 0>)
Beat(position=39601, r_peak=39598, label=<Label.窦性心律: 0>)
Beat(position=39801, r_peak=39798, label=<Label.窦性心律: 0>)
Beat(position=40005, r_peak=40002, label=<Label.窦性心律: 0>)
Beat(position=40205, r_peak=40202, label=<Label.窦性心律: 0>)
Beat(position=40412, r_peak=40409, label=<Label.窦性心律: 0>)
Beat(position=40625, r_peak=40622, label=<Label.窦性心律: 0>)
Beat(position=40835, r_peak=40832, label=<Label.窦性心律: 0>)
Beat(position=41044, r_peak=41040, label=<Label.窦性心律: 0>)
Beat(position=41253, r_peak=41251, label=<Label.窦性心律: 0>)
Beat(position=41456, r_peak=41453, label=<Label.窦性心律: 0>)
Beat(position=41660, r_peak=41657, label=<Label.窦性心律: 0>)
Beat(position=41867, r_peak=41864, label=<Label.窦性心律: 0>)
Beat(position=42075, r_peak=42072, label=<Label.窦性心律: 0>)
Beat(position=42285, r_peak=42282, label=<Label.窦性心律: 0>)
Beat(position=42502, r_peak=42500, label=<Label.窦性心律: 0>)
Beat(position=42716, r_peak=42713, label=<Label.窦性心律: 0>)
Beat(position=42929, r_peak=42926, label=<Label.窦性心律: 0>)
Beat(position=43143, r_peak=43140, label=<Label.窦性心律: 0>)
Beat(position=43354, r_peak=43351, label=<Label.窦性心律: 0>)
Beat(position=43566, r_peak=43564, label=<Label.窦性心律: 0>)
Beat(position=43784, r_peak=43781, label=<Label.窦性心律: 0>)
Beat(position=43998, r_peak=43995, label=<Label.窦性心律: 0>)
Beat(position=44217, r_peak=44214, label=<Label.窦性心律: 0>)
Beat(position=44441, r_peak=44438, label=<Label.窦性心律: 0>)
Beat(position=44645, r_peak=44642, label=<Label.房性早搏: 1>)
Beat(position=44877, r_peak=44874, label=<Label.窦性心律: 0>)
Beat(position=45101, r_peak=45099, label=<Label.窦性心律: 0>)
Beat(position=45305, r_peak=45302, label=<Label.窦性心律: 0>)
Beat(position=45523, r_peak=45520, label=<Label.窦性心律: 0>)
Beat(position=45745, r_peak=45743, label=<Label.窦性心律: 0>)
Beat(position=45980, r_peak=45977, label=<Label.窦性心律: 0>)
Beat(position=46208, r_peak=46205, label=<Label.窦性心律: 0>)
Beat(position=46431, r_peak=46428, label=<Label.窦性心律: 0>)
Beat(position=46656, r_peak=46654, label=<Label.窦性心律: 0>)
Beat(position=46890, r_peak=46888, label=<Label.窦性心律: 0>)
Beat(position=47125, r_peak=47123, label=<Label.窦性心律: 0>)
Beat(position=47357, r_peak=47354, label=<Label.窦性心律: 0>)
Beat(position=47567, r_peak=47564, label=<Label.房性早搏: 1>)
Beat(position=47790, r_peak=47787, label=<Label.窦性心律: 0>)
Beat(position=48004, r_peak=48001, label=<Label.窦性心律: 0>)
Beat(position=48225, r_peak=48223, label=<Label.窦性心律: 0>)
Beat(position=48451, r_peak=48448, label=<Label.窦性心律: 0>)
Beat(position=48667, r_peak=48664, label=<Label.窦性心律: 0>)
Beat(position=48873, r_peak=48870, label=<Label.窦性心律: 0>)
Beat(position=49079, r_peak=49076, label=<Label.窦性心律: 0>)
Beat(position=49289, r_peak=49287, label=<Label.窦性心律: 0>)
Beat(position=49501, r_peak=49498, label=<Label.窦性心律: 0>)
Beat(position=49708, r_peak=49704, label=<Label.窦性心律: 0>)
Beat(position=49905, r_peak=49901, label=<Label.窦性心律: 0>)
Beat(position=50098, r_peak=50094, label=<Label.窦性心律: 0>)
Beat(position=50295, r_peak=50292, label=<Label.窦性心律: 0>)
Beat(position=50503, r_peak=50501, label=<Label.窦性心律: 0>)
Beat(position=50718, r_peak=50715, label=<Label.窦性心律: 0>)
Beat(position=50929, r_peak=50926, label=<Label.窦性心律: 0>)
Beat(position=51133, r_peak=51129, label=<Label.窦性心律: 0>)
Beat(position=51339, r_peak=51336, label=<Label.窦性心律: 0>)
Beat(position=51553, r_peak=51550, label=<Label.窦性心律: 0>)
Beat(position=51769, r_peak=51767, label=<Label.窦性心律: 0>)
Beat(position=51980, r_peak=51977, label=<Label.窦性心律: 0>)
Beat(position=52185, r_peak=52181, label=<Label.窦性心律: 0>)
Beat(position=52383, r_peak=52380, label=<Label.窦性心律: 0>)
Beat(position=52584, r_peak=52581, label=<Label.窦性心律: 0>)
Beat(position=52787, r_peak=52784, label=<Label.窦性心律: 0>)
Beat(position=52992, r_peak=52989, label=<Label.窦性心律: 0>)
Beat(position=53190, r_peak=53187, label=<Label.窦性心律: 0>)
Beat(position=53385, r_peak=53382, label=<Label.窦性心律: 0>)
Beat(position=53585, r_peak=53582, label=<Label.窦性心律: 0>)
Beat(position=53789, r_peak=53786, label=<Label.窦性心律: 0>)
Beat(position=53996, r_peak=53992, label=<Label.窦性心律: 0>)
Beat(position=54197, r_peak=54193, label=<Label.窦性心律: 0>)
Beat(position=54394, r_peak=54391, label=<Label.窦性心律: 0>)
Beat(position=54601, r_peak=54599, label=<Label.窦性心律: 0>)
Beat(position=54821, r_peak=54819, label=<Label.窦性心律: 0>)
Beat(position=55043, r_peak=55040, label=<Label.窦性心律: 0>)
Beat(position=55255, r_peak=55251, label=<Label.窦性心律: 0>)
Beat(position=55468, r_peak=55464, label=<Label.窦性心律: 0>)
Beat(position=55689, r_peak=55685, label=<Label.窦性心律: 0>)
Beat(position=55913, r_peak=55911, label=<Label.窦性心律: 0>)
Beat(position=56133, r_peak=56130, label=<Label.窦性心律: 0>)
Beat(position=56342, r_peak=56340, label=<Label.房性早搏: 1>)
Beat(position=56564, r_peak=56561, label=<Label.窦性心律: 0>)
Beat(position=56785, r_peak=56782, label=<Label.窦性心律: 0>)
Beat(position=57004, r_peak=57000, label=<Label.窦性心律: 0>)
Beat(position=57203, r_peak=57200, label=<Label.心室预激: 6>)
Beat(position=57441, r_peak=57438, label=<Label.窦性心律: 0>)
Beat(position=57661, r_peak=57658, label=<Label.窦性心律: 0>)
Beat(position=57880, r_peak=57877, label=<Label.窦性心律: 0>)
Beat(position=58086, r_peak=58084, label=<Label.窦性心律: 0>)
Beat(position=58298, r_peak=58295, label=<Label.窦性心律: 0>)
Beat(position=58511, r_peak=58508, label=<Label.窦性心律: 0>)
Beat(position=58721, r_peak=58717, label=<Label.窦性心律: 0>)
Beat(position=58924, r_peak=58921, label=<Label.窦性心律: 0>)
Beat(position=59135, r_peak=59132, label=<Label.窦性心律: 0>)
Beat(position=59356, r_peak=59353, label=<Label.窦性心律: 0>)
Beat(position=59577, r_peak=59574, label=<Label.窦性心律: 0>)
Beat(position=59793, r_peak=59790, label=<Label.窦性心律: 0>)
Beat(position=60019, r_peak=60016, label=<Label.窦性心律: 0>)
Beat(position=60245, r_peak=60243, label=<Label.窦性心律: 0>)
Beat(position=60469, r_peak=60466, label=<Label.窦性心律: 0>)
Beat(position=60684, r_peak=60680, label=<Label.窦性心律: 0>)
Beat(position=60900, r_peak=60897, label=<Label.窦性心律: 0>)
Beat(position=61113, r_peak=61111, label=<Label.窦性心律: 0>)
Beat(position=61325, r_peak=61323, label=<Label.窦性心律: 0>)
Beat(position=61529, r_peak=61525, label=<Label.窦性心律: 0>)
Beat(position=61739, r_peak=61736, label=<Label.窦性心律: 0>)
Beat(position=61949, r_peak=61947, label=<Label.窦性心律: 0>)
Beat(position=62151, r_peak=62148, label=<Label.窦性心律: 0>)
Beat(position=62335, r_peak=62332, label=<Label.窦性心律: 0>)
Beat(position=62519, r_peak=62516, label=<Label.窦性心律: 0>)
Beat(position=62714, r_peak=62711, label=<Label.窦性心律: 0>)
Beat(position=62923, r_peak=62920, label=<Label.窦性心律: 0>)
Beat(position=63140, r_peak=63137, label=<Label.窦性心律: 0>)
Beat(position=63350, r_peak=63347, label=<Label.窦性心律: 0>)
Beat(position=63565, r_peak=63563, label=<Label.窦性心律: 0>)
Beat(position=63785, r_peak=63782, label=<Label.窦性心律: 0>)
Beat(position=63993, r_peak=63991, label=<Label.窦性心律: 0>)
Beat(position=64205, r_peak=64202, label=<Label.窦性心律: 0>)
Beat(position=64417, r_peak=64414, label=<Label.窦性心律: 0>)
Beat(position=64618, r_peak=64615, label=<Label.窦性心律: 0>)
Beat(position=64828, r_peak=64825, label=<Label.窦性心律: 0>)
Beat(position=65041, r_peak=65037, label=<Label.窦性心律: 0>)
Beat(position=65252, r_peak=65248, label=<Label.窦性心律: 0>)
Beat(position=65470, r_peak=65467, label=<Label.窦性心律: 0>)
Beat(position=65692, r_peak=65689, label=<Label.窦性心律: 0>)
Beat(position=65901, r_peak=65898, label=<Label.窦性心律: 0>)
Beat(position=66108, r_peak=66105, label=<Label.窦性心律: 0>)
Beat(position=66317, r_peak=66315, label=<Label.窦性心律: 0>)
Beat(position=66544, r_peak=66541, label=<Label.窦性心律: 0>)
Beat(position=66773, r_peak=66770, label=<Label.窦性心律: 0>)
Beat(position=66989, r_peak=66986, label=<Label.窦性心律: 0>)
Beat(position=67210, r_peak=67207, label=<Label.窦性心律: 0>)
Beat(position=67430, r_peak=67428, label=<Label.窦性心律: 0>)
Beat(position=67643, r_peak=67640, label=<Label.窦性心律: 0>)
Beat(position=67862, r_peak=67860, label=<Label.窦性心律: 0>)
Beat(position=68086, r_peak=68083, label=<Label.窦性心律: 0>)
Beat(position=68297, r_peak=68294, label=<Label.窦性心律: 0>)
Beat(position=68514, r_peak=68511, label=<Label.窦性心律: 0>)
Beat(position=68732, r_peak=68729, label=<Label.窦性心律: 0>)
Beat(position=68943, r_peak=68940, label=<Label.窦性心律: 0>)
Beat(position=69160, r_peak=69157, label=<Label.窦性心律: 0>)
Beat(position=69377, r_peak=69374, label=<Label.窦性心律: 0>)
Beat(position=69585, r_peak=69582, label=<Label.窦性心律: 0>)
Beat(position=69801, r_peak=69798, label=<Label.窦性心律: 0>)
Beat(position=70018, r_peak=70015, label=<Label.窦性心律: 0>)
Beat(position=70232, r_peak=70229, label=<Label.窦性心律: 0>)
Beat(position=70455, r_peak=70452, label=<Label.窦性心律: 0>)
Beat(position=70677, r_peak=70675, label=<Label.窦性心律: 0>)
Beat(position=70889, r_peak=70887, label=<Label.窦性心律: 0>)
Beat(position=71109, r_peak=71107, label=<Label.窦性心律: 0>)
Beat(position=71337, r_peak=71333, label=<Label.窦性心律: 0>)
Beat(position=71557, r_peak=71554, label=<Label.窦性心律: 0>)
Beat(position=71780, r_peak=71776, label=<Label.窦性心律: 0>)
Beat(position=72005, r_peak=72001, label=<Label.窦性心律: 0>)
Beat(position=72214, r_peak=72211, label=<Label.窦性心律: 0>)
Beat(position=72440, r_peak=72437, label=<Label.窦性心律: 0>)
Beat(position=72664, r_peak=72661, label=<Label.窦性心律: 0>)
Beat(position=72872, r_peak=72869, label=<Label.窦性心律: 0>)
Beat(position=73096, r_peak=73093, label=<Label.窦性心律: 0>)
Beat(position=73309, r_peak=73307, label=<Label.窦性心律: 0>)
Beat(position=73514, r_peak=73510, label=<Label.窦性心律: 0>)
Beat(position=73724, r_peak=73721, label=<Label.窦性心律: 0>)
Beat(position=73942, r_peak=73939, label=<Label.窦性心律: 0>)
Beat(position=74154, r_peak=74150, label=<Label.窦性心律: 0>)
Beat(position=74349, r_peak=74345, label=<Label.窦性心律: 0>)
Beat(position=74536, r_peak=74532, label=<Label.窦性心律: 0>)
Beat(position=74724, r_peak=74721, label=<Label.窦性心律: 0>)
Beat(position=74919, r_peak=74916, label=<Label.窦性心律: 0>)
Beat(position=75123, r_peak=75120, label=<Label.窦性心律: 0>)
Beat(position=75339, r_peak=75336, label=<Label.窦性心律: 0>)
Beat(position=75561, r_peak=75557, label=<Label.窦性心律: 0>)
Beat(position=75782, r_peak=75779, label=<Label.窦性心律: 0>)
Beat(position=75991, r_peak=75988, label=<Label.窦性心律: 0>)
Beat(position=76205, r_peak=76203, label=<Label.窦性心律: 0>)
Beat(position=76421, r_peak=76419, label=<Label.窦性心律: 0>)
Beat(position=76629, r_peak=76626, label=<Label.窦性心律: 0>)
Beat(position=76837, r_peak=76834, label=<Label.窦性心律: 0>)
Beat(position=77045, r_peak=77042, label=<Label.窦性心律: 0>)
Beat(position=77248, r_peak=77245, label=<Label.窦性心律: 0>)
Beat(position=77447, r_peak=77444, label=<Label.窦性心律: 0>)
Beat(position=77649, r_peak=77647, label=<Label.窦性心律: 0>)
Beat(position=77852, r_peak=77848, label=<Label.窦性心律: 0>)
Beat(position=78049, r_peak=78046, label=<Label.窦性心律: 0>)
Beat(position=78258, r_peak=78254, label=<Label.窦性心律: 0>)
Beat(position=78471, r_peak=78468, label=<Label.窦性心律: 0>)
Beat(position=78681, r_peak=78678, label=<Label.窦性心律: 0>)
Beat(position=78898, r_peak=78895, label=<Label.窦性心律: 0>)
Beat(position=79119, r_peak=79116, label=<Label.窦性心律: 0>)
Beat(position=79323, r_peak=79320, label=<Label.窦性心律: 0>)
Beat(position=79543, r_peak=79540, label=<Label.窦性心律: 0>)
Beat(position=79760, r_peak=79757, label=<Label.窦性心律: 0>)
Beat(position=79964, r_peak=79960, label=<Label.窦性心律: 0>)
Beat(position=80185, r_peak=80183, label=<Label.窦性心律: 0>)
Beat(position=80390, r_peak=80387, label=<Label.窦性心律: 0>)
Beat(position=80604, r_peak=80600, label=<Label.窦性心律: 0>)
Beat(position=80815, r_peak=80812, label=<Label.窦性心律: 0>)
Beat(position=81037, r_peak=81035, label=<Label.窦性心律: 0>)
Beat(position=81253, r_peak=81251, label=<Label.房性早搏: 1>)
Beat(position=81478, r_peak=81475, label=<Label.窦性心律: 0>)
Beat(position=81707, r_peak=81704, label=<Label.窦性心律: 0>)
Beat(position=81909, r_peak=81906, label=<Label.窦性心律: 0>)
Beat(position=82131, r_peak=82128, label=<Label.窦性心律: 0>)
Beat(position=82341, r_peak=82337, label=<Label.窦性心律: 0>)
Beat(position=82545, r_peak=82542, label=<Label.窦性心律: 0>)
Beat(position=82754, r_peak=82751, label=<Label.窦性心律: 0>)
Beat(position=82965, r_peak=82961, label=<Label.窦性心律: 0>)
Beat(position=83168, r_peak=83165, label=<Label.窦性心律: 0>)
Beat(position=83377, r_peak=83375, label=<Label.窦性心律: 0>)
Beat(position=83592, r_peak=83589, label=<Label.窦性心律: 0>)
Beat(position=83800, r_peak=83797, label=<Label.窦性心律: 0>)
Beat(position=84017, r_peak=84014, label=<Label.窦性心律: 0>)
Beat(position=84237, r_peak=84233, label=<Label.窦性心律: 0>)
Beat(position=84441, r_peak=84438, label=<Label.窦性心律: 0>)
Beat(position=84657, r_peak=84654, label=<Label.窦性心律: 0>)
Beat(position=84867, r_peak=84863, label=<Label.窦性心律: 0>)
Beat(position=85077, r_peak=85074, label=<Label.窦性心律: 0>)
Beat(position=85289, r_peak=85287, label=<Label.窦性心律: 0>)
Beat(position=85508, r_peak=85505, label=<Label.窦性心律: 0>)
Beat(position=85715, r_peak=85711, label=<Label.窦性心律: 0>)
Beat(position=85919, r_peak=85916, label=<Label.窦性心律: 0>)
Beat(position=86118, r_peak=86116, label=<Label.窦性心律: 0>)
Beat(position=86327, r_peak=86324, label=<Label.窦性心律: 0>)
Beat(position=86546, r_peak=86543, label=<Label.窦性心律: 0>)
Beat(position=86769, r_peak=86766, label=<Label.窦性心律: 0>)
Beat(position=86981, r_peak=86977, label=<Label.窦性心律: 0>)
Beat(position=87205, r_peak=87202, label=<Label.窦性心律: 0>)
Beat(position=87428, r_peak=87425, label=<Label.窦性心律: 0>)
Beat(position=87645, r_peak=87641, label=<Label.窦性心律: 0>)
Beat(position=87856, r_peak=87853, label=<Label.窦性心律: 0>)
Beat(position=88072, r_peak=88069, label=<Label.窦性心律: 0>)
Beat(position=88285, r_peak=88283, label=<Label.窦性心律: 0>)
